[rosmaster.main][INFO] 2023-06-23 22:53:32,527: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-06-23 22:53:32,527: Starting ROS Master Node
[xmlrpc][INFO] 2023-06-23 22:53:32,528: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-06-23 22:53:32,528: Started XML-RPC server [http://10.25.240.158:11311/]
[rosmaster.master][INFO] 2023-06-23 22:53:32,528: Master initialized: port[11311], uri[http://10.25.240.158:11311/]
[xmlrpc][INFO] 2023-06-23 22:53:32,528: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-06-23 22:53:32,566: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-06-23 22:53:32,568: +PARAM [/roslaunch/uris/host_10_25_240_158__33415] by /roslaunch
[rosmaster.master][INFO] 2023-06-23 22:53:32,594: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-06-23 22:53:32,594: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-06-23 22:53:32,605: +SERVICE [/rosout/get_loggers] /rosout http://10.25.240.158:42307/
[rosmaster.master][INFO] 2023-06-23 22:53:32,605: +SERVICE [/rosout/set_logger_level] /rosout http://10.25.240.158:42307/
[rosmaster.master][INFO] 2023-06-23 22:53:32,606: +PUB [/rosout_agg] /rosout http://10.25.240.158:42307/
[rosmaster.master][INFO] 2023-06-23 22:53:32,607: +SUB [/rosout] /rosout http://10.25.240.158:42307/
[rosmaster.master][INFO] 2023-06-23 22:53:33,207: -PUB [/rosout_agg] /rosout http://10.25.240.158:42307/
[rosmaster.master][INFO] 2023-06-23 22:53:33,207: -SUB [/rosout] /rosout http://10.25.240.158:42307/
[rosmaster.master][INFO] 2023-06-23 22:53:33,208: -SERVICE [/rosout/get_loggers] /rosout rosrpc://10.25.240.158:57405
[rosmaster.master][INFO] 2023-06-23 22:53:33,208: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://10.25.240.158:57405
[rosmaster.main][INFO] 2023-06-23 22:53:33,236: keyboard interrupt, will exit
[rosmaster.main][INFO] 2023-06-23 22:53:33,236: stopping master...
[rospy.core][INFO] 2023-06-23 22:53:33,236: signal_shutdown [atexit]
